Text,True Sentiment,transformers Sentiment,transformers Confidence,transformers Response Time (s)
perfect double bill horribly corny beverly hillbillies equally atrocious lame brained comedy son law country girl rebecca goes wild california attend college assaulted lifestyle resident adviser crawl helps settle soon two good friends bec decides bring wacky crawl home thanksgiving obvious fish water resultsbr br comic angle steve rash aptly named achieves sexual one bludgeons us avail comic aspects fail dismally know film groping crawl hijacks combine harvester writes name corn fieldbr br dramatically movie falls short several attempts family personal counselling crawl misfiring pauly shore carla gugino manage raise couple smiles little else rest cast mere fodder problem nearly impossible actually like crawl youll find spending whole flick wondering rebecca would want spend moment however youre fan unintelligent comedy son law right markbr br sunday november tv,negative,negative,0.998377799987793,0.2241957187652588
thought movie watched pluto nashwhybecause movies randy quaid playing retarded robot movie made years earlier probably written screenplay writer drank biotoxic coffee something like thatwhoaavoid costs even pay tribute late great andy kaufman hard herefind another film watch taxi reruns latenight tvhis latka gravas character much loveabletank berry much,negative,negative,0.9957923889160156,0.11376404762268066
watch sad excuse film wasted time money pretty psed itbr br acting comparable high school plays script shocking plot twenty minutes end believe rewarded reaching headache screaming crying wailing five girls makebr br majority violence rare film nowadays suggested rather graphically depicted found characters damn irritating wanted see indeed every single person involved making piece st die horrible ways possiblebr br spend ten minutes life saving poor minutes dont,negative,negative,0.9989689588546753,0.1119844913482666
movie good premise start suspense slashers secret society really couldnt figure bad guys last quarter moviebr br contained many dumb clichs worst old american slasherhorror movies love slasherhorror movies old clichs long disappeared american cinema example old hear noises basement im home alone basement light doesnt work ill go investigate clichbr br three examples clichs really irked end br br potente finds may secret society work medical school carving live bodies proceeds ask questions tell everyone publicly essence saying found come kill telling everyone secret wonders finds blood smeared bed brought roommates severed finger towelbr br even one guy met two weeks ago ends dissection table finds secret society disemboweling live people goes lab dead bodies stored times night investigatebr br roommate gets killed gets chased killer knows doesnt report university police leaves school go home visit parents returns school apparently thinking guy tried kill let bygones bygones try kill even though knows secret course wrongbr br someone supposed smart studying doctor best school germany acted like clich bimbo horror moviebr br things made potentially good movie frustrating made wish ending would come even sooner halfway movie stopped routing wished would end dissection table,negative,negative,0.9987536668777466,0.5039927959442139
first rented batman returns immediately thought going less exceptional mean jack nicholson undoubtedly best part first without could good movie simple throw danny devitobr br batman returns arguably dark movie batman villains less actual dark comedy lot aspects nervestriking issues however music similar first darker scenery definitely depressing first every detail right time year movie follows comicstyle format came love first batmanbr br performances michael keaton thankfully returns batmanbruce wayne great first movie much sequel enough screen time world keaton batman need danny devito gave awardwinning performance penguin grueling disgusting lovable angry evil sad pathetic villain ever grace superhero movie hate much yet feel bad time explains last detail making conflicting michelle pfeiffer excellent catwomanselina kyle two completely different personalities one actually got good amount back story well christopher walken didnt disappoint max shreck greedy judgmental selfish ceo power company michael gough also thankfully returns lovable alfred good well pat hingle also returns gordon although feel really never spotlightbr br lots great twists subplots batman returns sure please fan originalbr br,positive,negative,0.9791926145553589,0.4379844665527344
film mediocre best angie harmon funny bag hammers bitchy demeanor law order carries failed attempt comedy charlie sheen one come unscathed horrible anticomedy positive thing come mess charlie denises marriage hopefully effort produces better results,negative,negative,0.995011568069458,0.14461112022399902
typical romp cheech chongs reality includes drugs singing drugs cars driving even drugs pee wee aliens gasoline laundry stand comedy surprisingly drugs space coke coherent plausible smoke still incredibly funny without becoming strange nice dreams classic scenes include opening scene get gas car drive work also funny cheechs song mexicanamericans chongs follow song another notable scene welfare office scene jones human noise machine police academy series old laughing man great follow smoke quite watchable sober notbr br celluloid rehab,positive,positive,0.9372243881225586,0.16675829887390137
gripe opera dont quibble film cabaret original show either films musicalsoperas adaptations dont work cabaret took liberties original show film porgy bess yet kept original integrity reworking material judged artistic success holds true porgy bess reworked opera dialoguesong libretto audiences time loved musicals stayed away echt filmed operas would economical suicide preminger produce film opera would lost fortune goldwyn studiosbr br said fine adaptation acting excellent oscar winning scoring andre previn magnificent choral singing individual vocal achievements incredible robert mcferrin dad popular musician bobby mcferrin dubbed porgy adele addison dubbed bess sammy davis jr sang songs film recording contract would permit voice heard soundtrack album cab calloway recorded numbers spectacularly release brock peters bassbaritone extraordinary pearl bailey unique self diahann carroll although singer fine note small role clara required high soprano old reliable marni nixon dubbed singingbr br gershwin estate hates film refuses grant musical rights although dramatic rights public domain sort hate feud held video release carousel almost fifteen years although case dramatic rights litigation currently preventing porgy bess annie get gun released videobr br stage productions given film versions latter two sole holdouts video campaign letters gershwin estate ny might loosen reserve,negative,negative,0.6343148946762085,0.2922208309173584
first worst movie ive ever seen may make want see bad good way boring implausible poorly shot ridiculously scripted lacking cool disaster effectsbr br worse intensely patriotic without trace irony fun wallowing sense japanese uniqueness victimhood everyone abandons japanese hour need particularly koreans noble characters choose seppaku going ship beloved island sinks japanese would think way says prime ministerbr br movie way reflects japanese opinion place world opinion first thing rectify problem stop making movies like,negative,negative,0.9988964796066284,0.27504968643188477
saw dvd apartment paris exchange program laughed hard cuz much going movie happened us mean yeah sure pretty clichd still true know im sayingbr br think related quiet guy italian xavier im observer group anyway wish hot roommate like cecile de france seems like cool chick movie real saw hosting cannes festival last monthbr br im thinking wan na go barcelona next summer seeing movie got ta check sequel came france,positive,negative,0.9569079279899597,0.15185046195983887
actually saw movie read book saw movie upset wondered dean koontz made bad bookmovie movie confusing didnt flow choppy made want throw rock tv couldnt connect characters didnt care happened themnormally love characters relate personality problems read book loved often reread book movie collecting dust wish someone would make koontz movie follows plot books movies wouldnt suck much watch movie unless need waste money,negative,negative,0.9985236525535583,0.11539101600646973
anything else earth enticing learn expects frail bodies um death spanish director ignacio cerd soulmate german colleague jrg buttgereit provides blowbyblow answer curiosity invites us exciting journey world preparation tables scalpels surgical saws human entrails warped mindsbr br welcome autopsy roombr br dont know facets film apart notorious reputation may helped acquire sufficiently high ratingbr br storywise fairly simple straightforward day life actually half hour troubled coroner perhaps assistant pathologist whoever fed routine morbid duty discharges psychological tension nontraditional fashion right workplace im perplexed particular message authors tried deliver onenote plot suspect may somehow inspired udo kiers characters quirky demeanor andy warhols frankensteinbr br artistic values film also questionable hard evaluate performance actors dont squeeze single word emotions concealed behind medical masks theres also enough room great camerawork basically entire action unfolds mostly within four wallsbr br authenticity effects makeup impressive setup looks plausible handful medicalforensic experts judge truthful anatomically correct dissection carried anyone cares honestly used think autopsy done examine condition particular organs ascertain cause death know dead bodies severed raped humiliated intestines ripped apart brains retrieved head stuffed abdomen mixed guts body stitched back washed nothing personal poor lads expected write deceitful autopsy reports afterwardbr br shock disgust factor much unlikely unsuspecting viewer would discover horror disc intended watch wife kids beside christmas tree turns graphic video manual vivisection obscure item barely available sought people well familiar subject easily offended hence would pointless warn anyone sabotage film well aware exactly watching want seebr br cerd really gifted stylish director clearly obvious least two parts trilogy preceding awakening amazing black white short minute genesis visually stunning moody piece offbeat interesting concept im pretty sure one day conquer hearts moviegoers new mainstream oriented material sooner later aftermath would become rarity meticulous collectors early warmup worksbr br meantime im afraid may recommended strictly medical students specialists study mental disorders sexual deviations,negative,negative,0.9737623333930969,0.849156379699707
misguided miscast murky interminable lunacy given highgloss mgm abudget treatment kate hepburn plays bride comes suspect rich handsome husband robert tayloris dreamboat married psychotic killer mgms attempt hitchcockian thriller doomed start turgid muddled ludicrous script idiotic casting hepburn jeopardized woman fearing life could ever imagine hepburn afraid anything louis b mayer forgot tell vincent minnelli directing thriller musical taylor embarrassing robert mitchum also castagainsttype good guy retains dignity quiet lowkeyed performance karl freunds ravishing cinematography creates images eerie beautyand wasted wrong film end result metros parnell,negative,negative,0.9938077330589294,0.24052023887634277
film outstanding date apr demand show time since seen feature thomas jane first role seen first see normal guy seems kind henpecked wife seems close going way directors cut watched opening scene cool paulina porizkova dressed cheerleader type looking fresh hot trying buy coffee late night small bills turns violent hurry paulina shows name letter jacket real deal meeting old road pal nick played aaron eckhart cool first even loans wifes car take care business spots nicks silver briefcase day changes weird violent cast real characters parade next series scenes paulinas dallas steals show think telling casey story doctor get personal interview adoption application outrageous rule never thought tall women sexybut rule exceptions paulina one never seen films sexy lethal like one movie tom selleck never seen malevolence looking film add collection one worth price paulina nude worth price alone story everything one might hope one lovefriendshipsex violence terrific mix first seen years ago blew mind know feel way,positive,negative,0.8147754669189453,0.4267120361328125
interaction portman sarandon quite interesting really sold motherdaughter relationship family story isnt dulled frills special effects story really couldnt help give sigh end movie alas well told bittersweet tale growing relating family friends acting quite exquisite hope well seeing portman sarandon familiar roles road,positive,positive,0.9963861703872681,0.15583014488220215
well say nymphomania leaves unsatisfied dont know stella james sean young qualifies clinical nymphomaniac certainly sexual relations men shes still exploring trying find data see wants life men though seems like age pretty good idea cant agree however anyone says young old role age nicely part film left cold though means worst type youll ever see unlike recent eyes wide shut least something happens one,negative,negative,0.967011034488678,0.21283459663391113
still dont know hell movie going mean really movie demonstrating sean connerys complete lack arabic showing could play role moroccan warlord natural play role ramirez highlander teddy roosevelt even movie much sand put little use much table slapping teddy ignore japanese guy shooting archery realize man japanese credible excuse given connerys accent least jean claude van damme excuse french accent whether raised french nuns hong kong double impact raised bayou louisiana universal soldier french mother raised indochina even remember name movie anyone explain,negative,negative,0.9985596537590027,0.14686131477355957
movie lot fun ive seen couple times always something funny remember duckies bunnies car scene one favorites still quote morones versions certain wordsbr br many running jokes amazing love michael keaton anyhow,positive,positive,0.9970058798789978,0.09867095947265625
one best fred astaireginger rogers films least one favorites ar movies feature great dancing sappy romance stories still courtship corniness pronounced filmsbr br movie features great dancing likable characters bunch good songs music central theme whats nice addition tap solo rogers super dancer pretty woman one tremendous figure dances also fred course theyre always fun pair watch dance floorbr br growing watching ozzie harriet television real kick first time saw see young harriet hilliard surprise ozzie fell beauty although short early hairstyle recognized voice right away also movie quick appearances betty grable lucille ball admit yet ball cant find know shes herebr br astaire except obnoxious gumchewing first third film fun watch randolph scott although better westerns likable toobr br simply nice feelgood film good one want enjoy great talents astaire rogers,positive,positive,0.9971430897712708,0.27432942390441895
ive found movie offensive americans lost somebody towers american people general pretending homage horrible facts happened last years director takes opportunity polemize old facts none terrorist attack criticize americans political behaviour compare different political situation country nothing share atrocity september shame,negative,negative,0.9550369381904602,0.10544991493225098
chance seeing film see quite shocking parts really makes think many important issues didactic opinion piece art beautifully filmed fine music many styles typically impressive level acting one come expect bbc drama nathalie press billed natalie press convincing role depressed teenager exploited male classmate celia imrie beautifully reassuring quality gives sometimes unnerving action stability viewer comfort knowledge someone actually normal real star always timothy spall surely one greatest actors time,positive,positive,0.9997301697731018,0.12301373481750488
constantly mean really right title incredible melting man else would expect admit im sucker anything come across monster hd channel redeeming feature picture would truly grotesque makeup job legendary rick baker creepy ill give nod horny old geezer couple sucking lemons lights truly scarybr br something could never figure horror flicks monsters victims wouldnt simply run away faced virtual annihilation like chick cabin know door completely visible right kitchen could run right time incredible steveo couldnt muster much brisk walk blow right dont know maybe im missing something br br flick feel tales crypt episode tales usually cool grotesque twist often times didnt see coming one picture couldnt quite get handle coming going example early scene clearly make melting mans eyeball fell head manage get around rest story guess supposed askbr br eighty four minutes picture hour half long ready take general perry earlier suggestion could really use drink,negative,negative,0.9980288147926331,0.2486124038696289
prettybr br pretty actresses actors pretty bad script pretty frequent lets strip undies scenes pretty fair fx pretty jarring location decisions college dorm room looks like highend hotel room probably shot hotel pretty bland storyline pretty awful dialog pretty locations pretty annoying editing unless like music video flashcut stylebr br one isnt guilty pleasure embarrassing one must watch pick good dancetechno album turn sound movie youll see pretty people pretty black undies probably follow story finebr br cast may able act doubt anyone could look skilled given linesplot deal,negative,negative,0.9993069171905518,0.14899134635925293
less inspired opening string music notwithstanding somehow know word go heading straight big fun drawer time observe monica dolan truly genius bit casting delightfully goofing cora early already hooked later reveals marvellous screen creation deranged scheming maleficent queen murder deceit posing guise uptight miss gilchrist effortlessly steals entire telemovie quite simply blows screen anyone comes near including ever well measured david suchet seems somewhat bedazzled acting talents gentlemanly allows take centre stage dolan true engine film miss gilchrist genuinely well rounded character christie rendition helped zesty script sprightly paced direction also rest cast led geraldine james dominic jephcott display signs sympathy given material play relish accordinglybr br production values spot usual weaker links might located comparatively substandard music score majority later poirots also perhaps lacking genuine italianborn actor role coras husband hour half pure televisual delight self indulgent entertaining lovingly put together,positive,negative,0.793073296546936,0.35682106018066406
love tv series much contains animation interesting beautiful cant believe cut tv also never found whether cybersix data die apparently survive im sure cybersix far best tv show ever know late hope start series im really glad got watch luved much br br women name cybersix human goes adrian sieldman man teacher highschool cybersix actually women disguised man day night cybersix patrols citybr br guy name von reichter one created cybersix finds put alive uses everything capture herbr br u never watched u totally download best tv show world cut people issues im glad got watch episodes,positive,positive,0.9618566632270813,0.2463068962097168
took group young people age protagonists appealed us agree post wilson guy worked thankless script great minor character good movie certain age demographic old pg young r also shows think maneuver junior high school love well jimmy buffet cool teacher kept us adults awake level kids questioning authority kept reasonable motives specific like add rebel setting music beautiful overall enjoyed holes really similar,positive,positive,0.9902631044387817,0.1341867446899414
fault actors put great performances overall story well executed movie opens great zinger crazy old guy forces young aborigine girls car road forced endure minutes character development entirely new group characters dont know minutes turns ones eventually discover girls body story progresses therebr br story pick point really goes nowhere hours asked point see characters struggle accusations racism stupidity handled discovery story ultimately unsatisfying felt unfinished well acted theres strong enough backbone film warrant recommending,negative,negative,0.6006447076797485,0.17461419105529785
tom berenger put soul sgt barnes done thomas beckett thought world folding first scenes nothing compared much felt last scenes great movie even girl,positive,positive,0.8875866532325745,0.08774828910827637
saw film ny gay lesbian film festival thought pretty bad first distracting way much shot lot slow motion overly arty closeups seemed pointstory wise aestheticallyother show skills cinematographer believe also director film seemed pretentious film student would come lead actor sam levine certainly cute mediocre actor best rest cast ranged soso bad story mostly annoyingly predictable concede audience seemed enjoy film laughing sighing constantly disliked great deal,negative,negative,0.993929386138916,0.1331624984741211
movie deeply idiotic man wants revenge crime enacts revenge video camera pointed right entire time man brain cell head would sit long front video camerabr br fact script could never even happen except someone unable dress destroyed got dumberbr br thinking script writers serious habits cooking brain cells making miss plot holes drive battalion armored tanks throughbr br plot man seeks revenge death loved ones middle plot something goes totally wrong unexpected unfoldsbr br people writing story hadnt dumb write totally unrealistic plot turns could never happen way writers say seek help serious mental problem,negative,negative,0.9987885355949402,0.15622758865356445
always wrote series complete stinkfest jim belushi involved heavily one day tragic happenstance occurred white sox game ended realized remote way side room somehow could gotten walked across room get remote even tv turn channel get walk across country watch tv another state nuts said decided hang tight couch take whatever fate store fate store episode show episode remember little except made broad general sweeping blanket judgment based zero objective experiential evidence nothing whatsoever back opinions completely right show total crudpie belushi comedic delivery hairy lighthouse foghorn women physically attractive stepfordis elicit real feeling viewer absolutely reason stop running local tv station gasoline flamethrower sending every copy mutt howling back hell br br except br br except wonderful comic sty lings larry joe campbell americas greatest comic character actor guy plays belushis brotherinlaw andy gold good really well aside funny job make belushi look good thats like trying make butt warts look good campbell pulls style someone invent nobel prize comic buffoonery win every year without larry joe show would consist slightly vacant looking courtney thornesmith smacking belushi head frying pan alternately beats chest plays straw floor cage stars larry joe campbell designated comedic bacon improves flavor everything hes,negative,negative,0.9756670594215393,0.456756591796875
british documentary recently shown comedy central best week also seen south parks second season dvd remember seeing many commercials dvd showing clips documentary occurs matt stone trey parker guy hot tub funny saw commercials used seeing time saw actual documentarybr br overall goin south park fairly funny interesting look south park episodes made series history going back matt trey came idea college however something tone documentary actually felt sort depressing fastpaced rapidfire lively actual south park episodes instead kind slow drywit style times funny time youre waiting something happen get chance watch means go dont think youre really missing much never see itbr br imdb rating,positive,negative,0.9879423975944519,0.18865013122558594
surface one classically entertaining actioncomedyromance films ive seen long time reminding pleasurable old saturdayafternoon movies right balance unexpected twists welltimed humor integrated action beyond though knowledge films context elements casablanca set many characters would truly understand seriousness happening country world consequences behavior adds strong note irony humor sense one female characters radical change hairstyle future film regret watching,positive,positive,0.9995800852775574,0.11751604080200195
space snippet kind dumb guess supposed shocker unexpected ending imho huge letdown joseph campanella rest earthbound actors great job one performances done justice silly ending though ending could ever made kind review producers beyond comment correct tongue cheek vignettes came second season thing supposed taken seriously producers writers could little creative ending rest episode justice,negative,negative,0.9880428314208984,0.0980992317199707
hardly masterpiece well written beautiful cinematography think movie wasnt terrible wasnt much better average main story dealing highly immoral teens focused forbidden romance really gotten instead scraping surface basically mom says cant parts dropped altogether reworked importance plight two main characters couple times wondering writerdirector fan george lucas classic american graffiti wrong fan movie make movie times look like mean come worst part madchen amick small part mean double come one one two lines actually tried southern accent take good listen even though character california doh maybe star others could followed would authentically sounding movie oh well ya director whos director artist also bad overall give b thats little generous cause im partial ms amick,positive,negative,0.9985610842704773,0.1708667278289795
horrible horrible horrible film saw original kid gave nightmares teens found remake way groaned oh remake good film well thank dark castle buggering yet another classic horror film time theyve replaced somewhat interesting story gore slower slow pacing yawninspired characters someone previously said surprised paris hilton act uh watching film plays prissy little tramp sounds like typecasting half people audience actually cheered died tells people seeing film thats reason find better one like black hole thing suck life youll want alone would left minutes boring exposition thing like morons guide crap filmmaking bred southern git stupid attractive leads knives plenty gore plenty stock menacing truck could go watching film began really appreciate jeepers creepers thought film sucked save avoid crapfest every cost,negative,negative,0.9954656958580017,0.1850583553314209
hollywood stop nothing make money film even keep dragging stereotypes putting impossible stupid situations effort clear example really believe heart film like racially irresponsible story divorced lawyer named peter sanderson steve martin chatting lady computer finally meets turns opposite expecting charlene morton queen latifah stocky black woman intentions dating peter instead wants look case convicted robbery wants leave good keeps popping inappropriate times save job reluctantly agrees look facts involving casebr br spoiler alertbr br peter kids staying charlene turns helpful raising suddenly news bulletin announces escaped convict named charlene morton broken prison peter tells leave fbi comes snooping around figures fact innocent old boyfriend shows threatens himbr br film directed adam shankman keeps things moving nice pace good looking film technically speaking script improbable every character stereotype point film called landlord clearly tune race relations mess always big fan martin think hes one talented persons around loves work constantly times seems pick script handed hand ive always problem latifah way barges life martin top instantly becomes ingratiating basic premise hollywood loves use hip black person showing uptight whitey loosen pass street logic help lives thats basically story course let martin dress black overact like retarded eminem hollywood knows viewers want well pretty much insulted everything film dont sense humor unfortunately hollywood anyway use logic common sense watch film yes enjoyed eugene levys talking jive really suppose believe would instantly attracted latifah guess weirder things happened many times main actor get shot saved something pocket wouldnt cell phone shatter struck bullet even die hard martin latifah fan wouldnt recommend know ive said isnt attempt make good film excuse try make money,negative,negative,0.9031798243522644,0.6154994964599609
ive loved movie since little kid remember night mother brought movie home loved still think funny original also catchy tunes movie lou also surprisingly good singer actors portray prince arthur princess eloise okay abbott costello best former heavyweight boxing sensation buddy baer also brother former heavyweight champion max baer good movie cop giant hes better actor boxer natural talent beginning movie hilarious lou costello keeps crashing car gets trouble buddy baer slapstick house good especially like comedy giants castle favorite parts part lou climbing beanstalk theyre singing farewell jack singing back hell return lou costello good singing favorite part part jack fighting giant like jack makes exploding eggs tries make giant omelet keep exploding abbott costello hilarious greatest comedians time one great movies love cherish reviews movie arent good cant understand good abbott costello movie also love lou costello comes back reality end thinks hes back dream bud hits starts singing song leaves attitude like one going push around good movie,positive,positive,0.9775208830833435,0.2836418151855469
shame yash raj films aditya chopra seems lost intelligence years providing steady fare tripe piece cinematic crap thats even worth tube standards gritting teeth throughout whole flick start finish schizophrenic direction plot line never quite materialized last scene felt ashamed country crorepati film makers throw away crores stupidity shame actors taking work even commenting piece work saif ali khan completely disappointed choice film kareen shows enough skin puberty stricken akshay comes dimwit anil another retard pubescent fascination english cronies commendable acting bizarre cinematography scattered last minutes enough pop blood vessel dont waste brain cells energy money go see go see rent amu konkana sensharma instead beautiful piece independent film thats ever come indiaintelligent poignant wonderful storytale touch everyone intelligent actors gave hope lost indian cinema making,negative,negative,0.8705927729606628,0.32039690017700195
liked roman polanskis repulsion probably check tenant since similar concept polanski stepping playing schizophrenic wacko actually one favorites movies second rosemarys baby course straight forward journey mental collapse man moves former apartment suicide victim residents building flaky sticklers keeping noise level even slightest titter becomes big deal polanski stars becomes increasingly paranoid succumbs loony hallucinations film carries gets point dressing acting like former tenant realize matter time decides tor reenact fatal leap window film bit slow dawdling ever seen roman polanski movie know going end bang flick doesnt disappoint also best dont question intricacies premise take descent madness pretty trippy surreal times polanski good timid deranged resident somehow attracts ever illustrious isabelle adjani also get see running around drag disturbing hilarious time damn makes one ugly chick polanski fans actually look past thirty yearold pedophile charges enjoy tenant entertaining psychological headtrip,positive,negative,0.949524998664856,0.3090815544128418
wonderbird certainly unbelievably refined cartoon drawn deliciously oldfashioned way sensationally oldfashioned almost respect takes place kingdom ruled mean heinous monarch accordingly kingdom least seethe surroundings kings palace seems devoid uninhabitedbr br inhabitants areaway sunin withered underground citybr br advicecall allegory call parable call fablebr br imdb encourages prolixity maybe reasons well add cartoon work great paul grimault,positive,positive,0.8718975186347961,0.1756577491760254
hello peoplebr br believe shades thing took role dont think cory feldman would taken role movie fuming pile dung save money time see every one top swear wanted slap lady blockbuster silly permitting rent stay awaybr br mr hipp,negative,negative,0.9961450099945068,0.13531136512756348
flipping channels lucky enough stumble upon beginning movie must admit grabbed attention almost immediately love older films considered classic one wonderful rarities movie main character female also bad girl highly recommend movie,positive,positive,0.9994893074035645,0.08988571166992188
film cash cash reliant rousing theme tune created earlier classic yul brynner long since jumped ship production values lee van cleef takes lead role chris cant think actor looks less like brynner van cleef hey could least shaved hair lost moustache sake continuity correctional centres show movie order punish offenders one step line magnificent seven ride brought fore wielded didnt even bother trying make movie look like tv movie abysmal,negative,negative,0.9957478642463684,0.15855860710144043
found enjoyable muppets movie felt lighthearted best comic delivery lines muppets try go broadway sell original musical theyve written along way run usual problems including kermits memory loss arent many great cameos original muppets movie including joan rivers dabney coleman simply timing delivery many lines great situations muppets find hilarious original songs also good ending satisfying much else say film muppet fans see sure funniest muppet movie sure enjoyed allbr br,positive,positive,0.9986039996147156,0.1363964080810547
felt balanced showing jehovahs witnesses done protecting american freedoms also showed strong faith two families first generation witnesses also appreciated showed becoming jehovahs witness affects nonwitness family members hard accept fact dont celebrate holidays sad part nonwitness families think witness family family dinnersvisits give gifts times holidays birthdays comes medical care witnesses want expect high standard medical care people forget blood transfusions allow sloppy medical care surgeries whereas bloodless treatments causes medical team highly skilled trained would prefer treat loved ones highly recommend video,positive,positive,0.9959434866905212,0.15228939056396484
