Text,True Sentiment,IBM Watson Sentiment,IBM Watson Confidence,IBM Watson Response Time (s)
dont know crew cky everything produce seems genius simplicity stupidity haggard incredibly dumb funny almost comedic excellence sometimes makes absolutely sense caresbr br made laugh ass musthave ckyjackass aficionado,Positive,negative,-0.624312,0.30794215202331543
reason elected give flick shot due presence oscar winner ernest borgnine say greatest waste good actor ever put film far could tell borgnine actor performances uniformly terrible amazed studio would actually pay performers appear couple level talent acting department story plodding insipid thought eyes going start bleeding time credits rolled perfect cinematic disaster obviously movie made appeal audience children credit better original programing disney channel similar kidfocused networks honestly saying much,Negative,negative,-0.996055,0.3357386589050293
leos carax made great movies boys meet girls mauvais sang les amants du pont neuf fact films great violence youth beauty juvenile wilderness carax three movies well aware cinema tried make vision art without thinking seen using melting times pola x different movie carax made les amants du pont neuf monstruosity millions dollars film destroyed everything way movie cant another one point view leos carax changed movie isnt beautiful first reasonable studio dreamed paris carax entered last reality clean anymore poetic characters carax become romantic german sense,Positive,negative,-0.57213,0.3236684799194336
great tragedy richard harris john derek longer us shouldnt blind anybody fact pretty ugly blotch appears mens cvs doubt john derek conceived movie wife like hot one million years bc maryln monroe raquel welsh respectively creating iconic sex symbol new decade run embrace dudley moore beach bos reputation allstar cast location filming sri lanka meant nothing could go wrong alas say mortals plan god laughs said film premiered edgar rice burrows estate tried take legal action bo derek plays jane parker sets turnofthe century africa reunited boozy abusive dad richard harris daddy parker explorer set find great inland sea stuff local legend whose existence poopooed conventional wisdom harris worth watching wonderfully hammy tanked performance includes singing irish ditty indian elephant somehow found way africa arrive time orangutan sumatra furthermore although jane professes despise parker bo richs relationship creepily incestuous testimony perhaps effects tropical heat long however local legends start circulate great white ape jane hears famous yodel movies cue miles okeefe future bmovie star making rather odd debut loinclothed lord jungle unlike johnny weismuller pidgin english ron ely speaks language fluently okeefe tarzan mute given bo richies dialog though probably bad thing harris caravan eventually reaches great inland sea located atop gigantic plateau seems run halfway across africahang arent seas lakes watery places generally located lowlying areas nevermind one many anomalies john derek universe crew attempt mount cliffs ropes snap harris roars echoing abuse hapless men plummeted deaths another occasion jane decides take nude swim inland sea giving another occasion see gratuitous nudity nowhere single male lion appears lions usually travel prides never go near beaches later tarzan wrestling venomous boa constrictor zoology doesnt seem one john dereks strong points tarzan movie jane becomes enchanted lord jungle resolves take virginity seen closeness chimps wonderspeaking edgar rice burroughs estate could sued highly probable certain primates phone lawyers chimps make miss cheeta badly especially ridiculous things like ride backs elephants clap hands tarzan jane finally get climax film bo harris captured rather stereotypical cannibals paint heroine prepare sacrificeeatexecute suffice say great wooden ape gets girl spoiler harris gets impaled huge elephant tusk doesnt stop dying parker delivering rambling monologue jane far aware law suit rice burrows estate never materialized tarzan ape man crucified box office kidding pity john derek could directed tarzan ape man bo derek miles okeefe living domestic bliss dudley moore boy,Negative,negative,-0.996014,0.5639297962188721
movie carlos jackal quinn international terrorist cia agent henry fieldss sutherland description appears maim women children heck least thats says guilt us naval officer annibal ramirez quinn taking assignment posing carlos setting traitor eyes kgb ramirez apparently physically identical carlos mentally antithesis borne order carlos borne chaosbr br movie isnt shootgunjumparound action thats good thing first half ramirez undergoes training act think like carlos thats actually movie achieves distinction runofthemill action flicks israeli agent kingsley joins fields training ramirez together appear take roles parents birthing ramirezs new character ramirez taught dislike things carlos dislikes act split second like carlos would even make love like carlos courtesy exgirlfriend carloss naturally taught would put good use later half movie little contrived quinn gives riveting performance carloswannabebr br another thing liked movie didnt utilize much overdone plot point evil twin movies know one evil twin insinuates good twins family ramirezs family come picture instead highlight new character wrecks havoc family lifebr br good chuckle humor injected movie often coming acerbic duo sutherland kingsley exception overused apparently gratuitous joke involving ramirezs first name annibal annabelle get also overdone constant harping duo powerful cunning intelligent carlos opinion final showdown payoff wasnt able match buildupbr br whole movie enjoyable im big action flick fan movie intelligent engrossing average action movie maintained attention throughoutbr br rating,Positive,positive,0.972467,0.3561360836029053
attempt bring back teen slasher genre taken away spoofs like scary movie shriek know last friday th valentine fails people like halloween original new went beyond anything thats ever done like scream least made sense valentine stupid slasherflick hardly gore soever plot similar halloween urban legend funny moment killer comes screen know sssssssssssooooooooooooo predictable teen slasher genre dead get itbr br,Negative,negative,-0.999525,0.3187742233276367
saw movie first came patty didnt want separated siblings however juvenile justice system dont care patty looked case file judge sent juvenile detention facility claimed violated rules privacy looking private files wanted family together couldnt blame parents even fit parents one smaller children restroom father stopped let drove left children stranded service station patty take authority protect since oldest placed foster homes good part social worker got back family head social worker kept telling butt interfere power crazy one patty placed juvenile facility didnt go father released prison abandonment yet children caught middle made feel insecure,Positive,negative,-0.860719,0.3155677318572998
went see evening cast id gone see normans room reason movie offering diane keaton leonardo de caprio also meryl streep loved every minute notebook even though chickflit lite feeling anything offering performances vanessa redgrave meryl streep patrick wilson glenn close would least good instead found sometimes even greatest actors overcome trite simplistic one occasion truly offensive materialbr br problem way film structured actually enjoy movies cut back forth time tell storyso long one era illuminates vise verse vanessas character deathbed recalling past event felt mistake riveting times part actually showing past mistake nothing clarify matter fact makes seem meaningless silliest girl meets boy girl gets boy girl loses boy fashion unbelievable clichd wrongheaded way possiblebr br spoilers bear mind continue readingbr br first claire danes brutally miscast even begin resemble vanessa redgrave young woman nowhere near chops comes acting dont get wrong good right role one patrick wilson miscast though acting chops almost pull hed better suited part hugh dancy played rich confused wasp object sexual attraction one hes bit waspy hugh dancy one note im tortured drunk wait till find im closet case sexually repressed world drink excess make fool front everyone know offensive manner died knew would thats thing happen faggot fifties ludicrous wrongheaded mishandled nearly threw candy screenbr br modern part toni collette sister fear commitment jealousy sisters perfect life sister wondering shes made right choices pregnancy tooperfect boyfriend actually might interesting meaningful played patrick wilson ebon mossbachrach might interesting harris given dreamy eyes anyway hashed much greater depth really present fresh momentousbr br top meryl streep doesnt even appear last ten minutes movie old lady makeup hides many facial expressions shes still good shes meryl meryl find way pull even silliest dialog heaviest makeupbr br put simply movie every clich really meaningful message movie book adds really business trotted two hours long laced lifetime movieoftheweek music guaranteed rub raw complete failure meaningful moviemaking aspects give meryl vanessabr br require films twadd le please set comments evening aside time life want truly meaningful experience served great actors filmmakers know simple story life death nonsense brings rent normans room find truly great acting,Negative,negative,-0.822064,0.32487916946411133
expected good id seen ozons superb moments read much movie brilliant clever bright emotionally visionally perfect moments every movement reason everything fits closely primordially true honest movie beauty innocence simplicity,Positive,positive,0.999812,0.29352760314941406
went screening sister helen sundance film festival know expectbr br riveted people documentary sister helen incredible character filmmakers captured essence sister helens amazing soul took world unknown thoroughly satisfied journey completely caught guard films endingbr br film speaks desire second chance life,Positive,positive,0.998437,0.32726526260375977
okayso ive seen lot really oddunusual movies day fear loathing las vegas comes mind think well anymorefrom whenever someone asks hey whats unusual movie youve ever seen slipstream ill say mean unusual good waybr br beginning movie obvious going one trippy camera effect movies mean little things like flashing images screen rewinding fastforwarding peoples words scenes messing color screen flash forwards flash backs constantlythen actual acting people randomly get violent shoot thingspeople say weirdest things dont make much sensebr br movie writer starts intermingle real life book hes writing lack better way explain basically see trip goes throughout movie thing johnny depp went similar trip fear loathing las vegas difference trip entertaining watch painful honestly real hard time even finishing slipstream kind hurt brain bitbr br see film buff making claim movie certain cinematic nuances make unique add feeling dementiablah blah blah point movie hurts brain watch itit makes little sense takes concentration even remotely try understand going even end thing happy overand say actually sat closing want see movie saying heck loud head go ahead waste hour minutes check outbr br mr hopkins applaud actor commend choice take stab directingplease ever make movie like next time try something relies little great storytelling camera techniques tend leave viewer headache,Negative,negative,-0.8671,0.32311582565307617
wow didnt know someone would make movie awful written things tell u want see moviebr br number biggest rave ever rave could see people dancing around br br ravethey see blood everywhereno peopletwo ruined tents one stage drinkbr br worst actors ever seen captain crew awful br br one people firing ordinary gun shoots almost times without reloading br br didnt knew every person world could fight pro must new thingbr br wonder producer thinking going big hit gon na classic sure u dumb st anyway dont see movie waist time eyes still bleeding,Negative,negative,-0.999747,0.33356261253356934
watched hurlyburly second choice affliction sold never seen many people walk movie sean penn kevin spacey chazz palminteri nothing save cokesnorting endlessly pedantic bad mametwannabe,Negative,negative,-0.946697,0.35266637802124023
original book set wont tv series people watch style ironically tube train near end train painted look like train underground play game hanging storyline plot jarrow march feeble version students beginning think world around suppose making think poverty marchers much thing stuff japp cater weak put something fill time would made decent half hour show could filmed book made better long show obvious episode victim style content,Negative,negative,-0.991863,0.29900550842285156
rarely anyone deny hitchcock remains one creative inventive prolific directors time arguably things takes true genius scare generations film goers taking showers wearing neck ties saboteur however creative prolific rather hitchcock set soul intention creating film muster american pride certain calltoarms supportourtroops title popular theme time mind hitchcock severely underplayed important aspects film including limited logical plot characterization believable dialog fluent running storyline br br typically hitchcock great espionage films years earlier achieving cinematic greatness foreign corespondant steps seemingly lost stride creating saboteur merely recycled oncethrilling story lines previous excursions readily provided without going great depth list films major problems br br despite face plastered every newspaper across america person recognizes kane blindbr br dinner party kane patricia dont want run door bad guys might grab tell party gate crashers logically prevents spies grabbing saying point evening besides anyone need reminded kane wanted terroristbr br since fan belt cut handcuffs br br nobody recognizes himhis face every newspaper br br spies catch kane ghost town assume hes man freeman sent work themshouldntt sort credentials know spies dont run around name tags photo ids secret handshake maybe br br cop picks kane escaping freemans house still seems one recognizes guybr br exactly fbi come believe kane evidence dont even show kane talking fbi scene simply fades forced assume everything kosherbr br cops search carnival caravan know kane woman blind man believed kanes story thus logically would reported daughter missing kidnapped even importantly running kane movie employ logicbr br running list movie exciting plot makes sense world full people willingly take wanted terrorists homes cars everyday big thing hitchcock fails miserably one,Negative,negative,-0.995946,0.32596874237060547
loved others revealed spoilers wont unusual premise actually sort weird went along completely camille difficult part pull convincingly maybe thats people hated think sienna excellent acting skills enabled nail part perfectly without maudlin ridiculous dont know even interested loser like james franco married anyway like actor also thought terrific job nothing ashamed movies similar setups eg ghost simply love sienna miller went along situation written script feel great acting talent vastly underrated hope becomes recognized public thought actors played parts well hope people get see movie highly recommend surprised local block buster store copies available definitely plan buy,Positive,positive,0.868003,0.342803955078125
hidden frontiersis fan fiction well thought organized series keeping worlds star trek alive growing fun little fan project well known net series hidden frontiers bit something every star trek fan set late star trek next generationds voyager time lines hidden frontier takes topics issues raised star trek series set stories using well developed characters plots story arcs star trek hidden frontier taken social context stories gene roddenberry failed bring screen shown development characters long term space assignments real things happen close quarters well exciting spatial wars conflicts scifi addicts know love done green screen studio hidden frontiers brings rollicking cast regulars screen hearts large ensemble cast actors plays well together lovingly gives time energy project inventive use green screen technology props makes costumes work make hidden frontier worlds star trek fun believable hidden frontier gone tread go world science fiction thrived got hidden frontier offers wonderful bonus feature well thought website interesting discussion forums access creative production acting staff fun weekly chat highly recommend taking time load watch,Positive,positive,0.999871,0.3156089782714844
finally years awaiting new film continue sexual mayhem basic instinct given great sequel packed right elements needed franchise remember everything original steam romance sex interrogation music master jerry goldsmith everything else violence murder intense confrontations kind make mistake basic instinct real winner audiences everywhere remember first given news sequel five years later never would thought end declared dropped project time sure couldnt tell ever real possibility begin well guess know anythings possible case even original director writer present need glamorous always reliable sharon stone done deal please hear outbr br people say film bad think due fact style extreme slightly dated use word dated seen certain film like many years audiences become adapted pointless boring storytelling seen movies actually make money reason make big numbers films family friendly needs hole clean course pleasant thing cmon escapism really seldom days basic instinct gives us real fans weve expecting film academy award winner try simply delivers diehard fans expecting film fun movies today seem take way seriously film loose fun taking seriously seriously anyway said shall evaluate filmbr br film fastpaced film first second see cathernine tremell car speeding mphand enjoying lustful thrills perhaps sex driving mix sexy novelist takes bad turn andwell gets away unharmed studly partner doesnt fare well tremell primary suspect accident put analysts psychiatrists dr michael glass morrissey automatically drawn first moment meets like another criminal investigator entranced seduced slowly surely denial begins crumble around weaves spell power tramell possibly dangerous beforebut like first one well never really know seduction motion jealousy rage drugs plateful erotic scenery ensuesbr br film recycle first one rather mentions previous films incidents briefly time time good thing lets us audience know script written bring level notch two sharon stone dazzles us though years come pass second run deceitful novelist right spot earlier awesome david morrissey well cast manages pretty well fact nonpopular star chosen makes performance enjoyable audience background see perform final thought first one live first ones prize winning place however live standards set first film folks,Positive,positive,0.983328,0.3421022891998291
finally managed see movieafter many years expectancybr br curious see movie bad people saybr br opinion movie wasnt bad allon contrary amazingbr br enjoyed every second itfrom beginning endbr br actors great sent feeling living story time movie playingbr br landscapes beautiful film shotand charmed also music extraordinary nothingbr br reproachbr br think plot original dont think saw movie like thisbr br shame isnt recognized worldto bad didnt get chance see give movie,Positive,negative,-0.932034,0.3192439079284668
saw movie last night reading reviews expected good emotional sports film got something clichd boring yes thought boring saw allstar getting hurt long game figured maybe theyd wait collapse ya know game big one guess first game good enoughbr br parental relationships also clichd dominating drunk father say mcgraw impressed however boy wants stay help ailing motherbr br especially liked random girls melissa maria movie minutes placed simply get football boys action field thought ok work plot maybe missed point beyond well play football town loves girls throw feet pointbr br sports action good points rushed think first game lasted longer montage entire playoffs wasnt sure continuity windingdown clock final gamebr br guess could see movie winning espy best sports film one released honestly though found boring movie full people sickeninglyobsessed pigskin better football film see remember titans,Negative,negative,-0.541276,0.3335897922515869
movie made relatively small budget million dollars almost promotion distributors knew long time jeanclaude van damme fan always check latest films hope least watchable aside real turkeys derailed second command movie easy enough plot follow van damme gives good humorous performance movie owes credit fight scenes involving van damme scott adkins final one together editing camera work film pretty terrible isaac florentine definitely film good fight scene happy van damme acting better lately hell wake death death good acting came less martial arts shepherd van damme proves still,Positive,negative,-0.89792,0.3235914707183838
everything illuminated like viewing fine piece museum quality artwork absolutely inundates emotions broad spectrum jonathan safran foer played candor elijah wood search paternal heritage ukraine travels bring contact alex played well extreme humor eugene hutz grandfather emotional tie film aptly portrayed boris leskin one finds little humor human characters cinema one turn mikke real dog called sammy davis jr jr alex grandfather also call seeing eye bitch cinematography spectacular colors important part patchwork film film worth time emotional investment,Positive,positive,0.881847,0.2969803810119629
oh disappointment movie cant believe directed wajda theres practically plot movie consists various people walking screen weakly trying interact talking katyn massacre interesting part comes right end time simply stopped caring trying suppress yawnsbr br almost entire movie filmed handheld camera supposed convey feeling personal immediacy theres nothing personal immediate movie instead constant jerking camera made seasick fair great shots pun intended nothing makes go wowbr br youre familiar katyn massacre movie leave scratching head familiar youll scratching head although maybe different reasons basically movie states restates soviets murdered thousands polish soldiers point hammered repeatedly though someone audience needed convinced basic historical fact however movie never tries explain killed tens thousands polish soldiers soviet pow camps harmed released also never explained adequately many people perished although figure thrown couple timesbr br acting adequate komorowska old woman chyra lt jerzy giving noticeable performances get act maybe minutes total certainly enough carry whole movie many actors seem chosen matine looks rather acting abilities wont mention names suffice say definitely oscar material claims movie robbed academy award simply laughablebr br tone movie wrong well one hand tries accurate historical drama resorts cheap antisoviet propaganda showing russian soldier tear polish flag using clean boots puzzling scenes absolutely bearing plot couple climbing roof liquidation krakow universitybr br many missed opportunities make movie interesting adding political angle story showing german discovery graves even portraying annas trip soviet occupied part german occupied krakow aspects could major part movie instead theyre reduced couple minutes end get collection loosely fitting confusing boring scenes reaction poles one greatest tragedies wwii compelling worthy wajda,Negative,negative,-0.647909,0.3333871364593506
nick nolte gives excellent performance kurt vonneguts dark tale notle plays howard w campbell double agent working propaganda world war ii war lives anonymously competing factions wish dig past much vonneguts work meditation absurdity war use propaganda aims nolte fantastic self assured confident younger campbell broken haunted older man forced atone sins past,Positive,positive,0.943091,0.36166810989379883
thats problem movies come television nothing else watch somehow get sucked really bad moviesbr br one fairly watchable concept ones left earth comet finding zombies around makes laugh thats gave movie instead story stupidbut way makes laugh stupid funnybr br think watched guy star trek lead surprised see younger guyand funny character anyway,Negative,negative,-0.356405,0.310563325881958
